# t (s)	mx ()	my ()	mz ()	E_total (J)
2.55e-07	0.37059045	-0.4829629	0	-1.1544516e-19
2.56e-07	0.37903905	-0.48514786	0	-1.1363784e-19
2.5700000000000004e-07	0.3875245	-0.48718506	0	-1.118226e-19
2.58e-07	0.39604416	-0.48907384	0	-1.1000008e-19
2.5900000000000003e-07	0.4045955	-0.4908136	0	-1.0817075e-19
2.6e-07	0.41317588	-0.4924039	0	-1.0633523e-19
2.61e-07	0.42178276	-0.49384418	0	-1.0449403e-19
2.62e-07	0.4304134	-0.49513406	0	-1.0264774e-19
2.63e-07	0.43906534	-0.49627307	0	-1.00796914e-19
2.6400000000000003e-07	0.4477358	-0.49726096	0	-9.894211e-20
2.65e-07	0.45642212	-0.49809733	0	-9.7083927e-20
2.66e-07	0.46512178	-0.49878204	0	-9.5222874e-20
2.67e-07	0.473832	-0.4993148	0	-9.3359565e-20
2.68e-07	0.48255026	-0.49969542	0	-9.1494544e-20
2.6900000000000004e-07	0.4912738	-0.49992386	0	-8.9628373e-20
2.7e-07	0.5	-0.5	0	-8.776166e-20
2.7100000000000003e-07	0.5087262	-0.49992386	0	-8.5894926e-20
2.72e-07	0.51744974	-0.49969542	0	-8.402878e-20
2.73e-07	0.52616805	-0.4993148	0	-8.2163766e-20
2.74e-07	0.53487825	-0.49878204	0	-8.0300445e-20
2.75e-07	0.54357785	-0.49809733	0	-7.843941e-20
2.7600000000000004e-07	0.5522642	-0.49726096	0	-7.65812e-20
2.77e-07	0.56093466	-0.49627307	0	-7.472642e-20
2.7800000000000003e-07	0.5695866	-0.49513406	0	-7.287558e-20
2.79e-07	0.5782172	-0.49384418	0	-7.1029295e-20
2.8e-07	0.5868241	-0.4924039	0	-6.918811e-20
2.8100000000000004e-07	0.59540445	-0.4908136	0	-6.735257e-20
2.82e-07	0.60395586	-0.48907384	0	-6.552325e-20
2.8300000000000003e-07	0.6124756	-0.48718506	0	-6.3700694e-20
2.84e-07	0.62096095	-0.48514786	0	-6.188549e-20
2.85e-07	0.62940955	-0.4829629	0	-6.007815e-20
