# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.92032874	-0.119450614	2.5410915e-37	-0.039999995	0	0
0	0.9187682	-0.12082444	2.5104009e-37	-0.041000005	0	0
0	0.91715807	-0.12222934	2.5610747e-37	-0.042	0	0
0	0.91549826	-0.123665676	2.5014644e-37	-0.043000005	0	0
0	0.91378355	-0.12513615	2.5114784e-37	-0.044	0	0
0	0.9120109	-0.12664324	2.5245995e-37	-0.045	0	0
0	0.9101777	-0.12818801	2.561873e-37	-0.046	0	0
0	0.9082797	-0.12977318	2.5260001e-37	-0.046999995	0	0
0	0.9063132	-0.13140133	2.5044764e-37	-0.048000004	0	0
0	0.90427333	-0.1330753	2.526094e-37	-0.049	0	0
0	0.9021554	-0.13479774	2.525958e-37	-0.050000004	0	0
0	0.89995426	-0.13657188	2.5794113e-37	-0.051	0	0
0	0.8976638	-0.13840124	2.5858432e-37	-0.051999994	0	0
0	0.89527667	-0.14029115	2.5964915e-37	-0.053	0	0
0	0.8927865	-0.14224455	2.5922338e-37	-0.053999998	0	0
0	0.8901842	-0.14426766	2.5818222e-37	-0.055000003	0	0
0	0.88746125	-0.14636508	2.5883288e-37	-0.055999998	0	0
0	0.8846068	-0.1485435	2.607174e-37	-0.057000004	0	0
0	0.8816088	-0.15081058	2.6233814e-37	-0.058	0	0
0	0.8784534	-0.15317461	2.6480604e-37	-0.059000008	0	0
0	0.8751254	-0.15564442	2.6522096e-37	-0.06	0	0
0	0.87160623	-0.15823169	2.6436565e-37	-0.060999997	0	0
0	0.86787415	-0.16094932	2.6508498e-37	-0.062000003	0	0
0	0.86390513	-0.1638116	2.6649502e-37	-0.063	0	0
0	0.8596682	-0.16683738	2.6681857e-37	-0.064	0	0
0	0.8551272	-0.17004809	2.6812976e-37	-0.065	0	0
0	0.8502374	-0.17347072	2.6725867e-37	-0.06599999	0	0
0	0.8449429	-0.17713827	2.6727972e-37	-0.067	0	0
0	0.83917403	-0.18109193	2.6903572e-37	-0.06800001	0	0
0	0.83283746	-0.18538678	2.6710964e-37	-0.069	0	0
0	0.8258064	-0.19009809	2.6897108e-37	-0.07	0	0
0	0.81790924	-0.1953246	2.694826e-37	-0.071	0	0
0	0.8088949	-0.20120978	2.7079476e-37	-0.072	0	0
0	0.79835296	-0.2079895	2.6972545e-37	-0.07300001	0	0
0	0.78557724	-0.21605879	-2.6929638e-37	-0.074	0	0
0	0.76906276	-0.22624105	-2.7350362e-37	-0.074999996	0	0
0	0.74374676	-0.24116859	-2.743452e-37	-0.076	0	0
0	-0.9909042	-2.965203e-05	-6.5106714e-38	-0.077	0	0
0	-0.9909786	-2.428572e-05	-6.3386357e-38	-0.078	0	0
0	-0.9910524	-2.033016e-05	-6.4013685e-38	-0.079	0	0
0	-0.9911254	-1.681174e-05	-6.373341e-38	-0.07999999	0	0
0	-0.9911978	-1.3511002e-05	-6.402845e-38	-0.081	0	0
0	-0.99126947	-1.1614131e-05	-6.352247e-38	-0.08200001	0	0
0	-0.9913406	-9.817144e-06	-6.4291063e-38	-0.083	0	0
0	-0.991411	-8.337709e-06	-6.4773744e-38	-0.084	0	0
0	-0.9914808	-6.9161542e-06	-6.409304e-38	-0.08499999	0	0
0	-0.99155	-5.7577927e-06	-6.491137e-38	-0.08600001	0	0
0	-0.9916186	-4.785892e-06	-6.4518606e-38	-0.087000005	0	0
0	-0.99168646	-3.928093e-06	-6.450232e-38	-0.088	0	0
0	-0.9917538	-3.1777017e-06	-6.453005e-38	-0.088999994	0	0
0	-0.9918204	-2.6080597e-06	-6.4086244e-38	-0.09	0	0
0	-0.99188656	-2.1128653e-06	-6.4230746e-38	-0.091000006	0	0
0	-0.99195194	-1.7032726e-06	-6.256534e-38	-0.092	0	0
0	-0.9920168	-1.3548924e-06	-6.272246e-38	-0.093	0	0
0	-0.99208117	-1.0642179e-06	-6.3702277e-38	-0.09399999	0	0
0	-0.9921448	-8.187708e-07	-6.472961e-38	-0.095	0	0
0	-0.99220794	-6.162081e-07	-6.470344e-38	-0.09600001	0	0
0	-0.99227047	-4.7075446e-07	-6.495439e-38	-0.097	0	0
0	-0.99233246	-3.4167897e-07	-6.425775e-38	-0.098	0	0
0	-0.9923939	-2.5343616e-07	-6.368377e-38	-0.09899999	0	0
0	-0.99245477	-1.7926504e-07	-6.3491656e-38	-0.10000001	0	0
0	-0.992394	-1.2490636e-07	-6.40633e-38	-0.09899999	0	0
0	-0.99233264	-9.1371476e-08	-6.387337e-38	-0.098	0	0
0	-0.99227065	-6.498885e-08	-6.470235e-38	-0.097	0	0
0	-0.9922081	-4.1618478e-08	-6.488007e-38	-0.09600001	0	0
0	-0.99214494	-2.6375346e-08	-6.37086e-38	-0.095	0	0
0	-0.9920812	-1.6312697e-08	-6.5712967e-38	-0.09399999	0	0
0	-0.992017	-9.749783e-09	-6.392234e-38	-0.093	0	0
0	-0.9919521	-2.0881998e-09	-6.3740426e-38	-0.092	0	0
0	-0.99188656	4.2200554e-09	-6.2900095e-38	-0.091000006	0	0
0	-0.9918206	9.8734745e-09	-6.451684e-38	-0.09	0	0
0	-0.9917539	1.4893885e-08	-6.450123e-38	-0.088999994	0	0
0	-0.9916865	1.5075784e-08	-6.4987677e-38	-0.088	0	0
0	-0.99161863	1.7040293e-08	-6.471225e-38	-0.087000005	0	0
0	-0.99155015	2.2890163e-08	-6.3982133e-38	-0.08600001	0	0
0	-0.99148095	2.3886969e-08	-6.4873314e-38	-0.08499999	0	0
0	-0.9914111	2.3574103e-08	-6.501649e-38	-0.084	0	0
0	-0.9913407	2.7757778e-08	-6.4629813e-38	-0.083	0	0
0	-0.9912697	2.9533112e-08	-6.475881e-38	-0.08200001	0	0
0	-0.9911978	3.1075615e-08	-6.4309516e-38	-0.081	0	0
0	-0.9911255	3.4589902e-08	-6.500109e-38	-0.07999999	0	0
0	-0.9910524	3.412424e-08	-6.354817e-38	-0.079	0	0
0	-0.9909787	3.585592e-08	-6.457256e-38	-0.078	0	0
0	-0.9909043	4.1152816e-08	-6.251787e-38	-0.077	0	0
0	-0.99082917	4.3677574e-08	-6.3763923e-38	-0.076	0	0
0	-0.9907534	4.6966306e-08	-6.304362e-38	-0.074999996	0	0
